"conf_cases","weekdate","week","year"
177,1998-07-16,29,1998
233,1998-07-23,30,1998
283,1998-07-30,31,1998
236,1998-08-06,32,1998
212,1998-08-13,33,1998
161,1998-08-20,34,1998
149,1998-08-27,35,1998
97,1998-09-03,36,1998
39,1998-09-10,37,1998
46,1998-09-17,38,1998
65,1998-09-24,39,1998
80,1998-10-01,40,1998
99,1998-10-08,41,1998
84,1998-10-15,42,1998
70,1998-10-22,43,1998
76,1998-10-29,44,1998
59,1998-11-05,45,1998
70,1998-11-12,46,1998
77,1998-11-19,47,1998
92,1998-11-26,48,1998
67,1998-12-03,49,1998
71,1998-12-10,50,1998
80,1998-12-17,51,1998
65,1998-12-24,52,1998
60,1999-01-01,1,1999
57,1999-01-08,2,1999
67,1999-01-15,3,1999
79,1999-01-22,4,1999
52,1999-01-29,5,1999
52,1999-02-05,6,1999
47,1999-02-12,7,1999
35,1999-02-19,8,1999
41,1999-02-26,9,1999
43,1999-03-05,10,1999
30,1999-03-12,11,1999
13,1999-03-19,12,1999
16,1999-03-26,13,1999
24,1999-04-02,14,1999
10,1999-04-09,15,1999
16,1999-04-16,16,1999
21,1999-04-23,17,1999
14,1999-04-30,18,1999
11,1999-05-07,19,1999
14,1999-05-14,20,1999
24,1999-05-21,21,1999
16,1999-05-28,22,1999
12,1999-06-04,23,1999
16,1999-06-11,24,1999
14,1999-06-18,25,1999
10,1999-06-25,26,1999
22,1999-07-02,27,1999
17,1999-07-09,28,1999
19,1999-07-16,29,1999
17,1999-07-23,30,1999
31,1999-07-30,31,1999
31,1999-08-06,32,1999
41,1999-08-13,33,1999
47,1999-08-20,34,1999
27,1999-08-27,35,1999
25,1999-09-03,36,1999
51,1999-09-10,37,1999
65,1999-09-17,38,1999
66,1999-09-24,39,1999
54,1999-10-01,40,1999
59,1999-10-08,41,1999
38,1999-10-15,42,1999
51,1999-10-22,43,1999
71,1999-10-29,44,1999
50,1999-11-05,45,1999
46,1999-11-12,46,1999
49,1999-11-19,47,1999
43,1999-11-26,48,1999
50,1999-12-03,49,1999
32,1999-12-10,50,1999
26,1999-12-17,51,1999
25,1999-12-24,52,1999
20,2000-01-01,1,2000
20,2000-01-08,2,2000
26,2000-01-15,3,2000
20,2000-01-22,4,2000
24,2000-01-29,5,2000
10,2000-02-05,6,2000
9,2000-02-12,7,2000
9,2000-02-19,8,2000
8,2000-02-26,9,2000
4,2000-03-04,10,2000
5,2000-03-11,11,2000
8,2000-03-18,12,2000
3,2000-03-25,13,2000
1,2000-04-01,14,2000
4,2000-04-08,15,2000
4,2000-04-15,16,2000
3,2000-04-22,17,2000
3,2000-04-29,18,2000
2,2000-05-06,19,2000
2,2000-05-13,20,2000
0,2000-05-20,21,2000
4,2000-05-27,22,2000
4,2000-06-03,23,2000
2,2000-06-10,24,2000
5,2000-06-17,25,2000
5,2000-06-24,26,2000
9,2000-07-01,27,2000
2,2000-07-08,28,2000
9,2000-07-15,29,2000
4,2000-07-22,30,2000
7,2000-07-29,31,2000
13,2000-08-05,32,2000
7,2000-08-12,33,2000
14,2000-08-19,34,2000
6,2000-08-26,35,2000
8,2000-09-02,36,2000
10,2000-09-09,37,2000
10,2000-09-16,38,2000
8,2000-09-23,39,2000
17,2000-09-30,40,2000
22,2000-10-07,41,2000
